UnitID	datasetName	KindOfUnit	TypeStatus	FullScientificName	storage:Institution	storage:Building	storage:ContainerStorage	storage:Column	storage:ContainerName	storage:ContainerType	storage:SubContainerStorage	Property1	PropertyValue1	Property2	PropertyValue2	Property3	PropertyValue3	Property4	PropertyValue4	Property5	PropertyValue5	Property6	PropertyValue6	Property7	PropertyValue7	Property8	PropertyValue8	Notes
RMCA ENT 000011931	DIPTERAE	specimen	Holotype	Andrenosoma complexum	Royal Museum for Central Africa	Colonial Palace	box	139	17	dry		taxonomy_source	gbif	author_gbif	"Oldroyd, 1970"	name_in_source	Andrenosoma complexum 	author_in_source_species	Oldroyd	ht_dorsal_view	RMCA ENT 000011931 DV	ht_head_front_view	RMCA ENT 000011931 HV	ht_lateral_view	RMCA ENT 000011931 LV	ht_labels	RMCA ENT 000011931 LB	
RMCA_ENT_161_BOX_44	DIPTERAE	specimen		Aplomya metallica	Royal Museum for Central Africa	Colonial Palace	box	161	44	dry		taxonomy_source	gbif	author_gbif	"(Wiedemann, 1824)"	name_in_source	Aplomya (=Atricholyga) metallica (=impexe) 	author_in_source_species	Wied.									
RMCA_ENT_161_BOX_44	DIPTERAE	specimen	Paratype	Aplomya metallica	Royal Museum for Central Africa	Colonial Palace	box	161	44	dry		taxonomy_source	gbif	author_gbif	"(Wiedemann, 1824)"	name_in_source	Aplomya (=Atricholyga) metallica (=impexe) 	author_in_source_species	Wied.									
RMCA_ENT_139_BOX_1	DIPTERAE	specimen		Apoclea algirus	Royal Museum for Central Africa	Colonial Palace	box	139	1	dry		taxonomy_source	gbif	author_gbif	"(Linnaeus, 1767)"	name_in_source	Apoclea algira 	author_in_source_species	Linnaeus									
RMCA ENT 000012167	DIPTERAE	specimen	Holotype	Archiconops abdominalis	Royal Museum for Central Africa	Colonial Palace	box	144	1	dry		taxonomy_source	RMCA	author_gbif		name_in_source	Archiconops abdominalis 	author_in_source_species	Kroeber	ht_dorsal_view	RMCA ENT 000012167 DV	ht_head_front_view	RMCA ENT 000012167 HV	ht_lateral_view	RMCA ENT 000012167 LV	ht_labels	RMCA ENT 000012167 LB	
RMCA_ENT_144_BOX_1	DIPTERAE	specimen	Paratype	Archiconops crypticus	Royal Museum for Central Africa	Colonial Palace	box	144	1	dry		taxonomy_source	gbif	author_gbif	"Stuke, 2004"	name_in_source	Archiconops crypticus 	author_in_source_species	Stuke									
RMCA ENT 000012166	DIPTERAE	specimen	Holotype	Archiconops insularis	Royal Museum for Central Africa	Colonial Palace	box	144	1	dry		taxonomy_source	gbif	author_gbif	"(Krober, 1936)"	name_in_source	Archiconops insularis 	author_in_source_species	Kroeber	ht_dorsal_view	RMCA ENT 000012166 DV	ht_head_front_view	RMCA ENT 000012166 HV	ht_lateral_view	RMCA ENT 000012166 LV	ht_labels	RMCA ENT 000012166 LB	
RMCA_ENT_144_BOX_1	DIPTERAE	specimen	Paratype	Archiconops pseudoerythrocephalus	Royal Museum for Central Africa	Colonial Palace	box	144	1	dry		taxonomy_source	gbif	author_gbif	"Stuke, 2004"	name_in_source	Archiconops pseudoerythrocephalus 	author_in_source_species	Stuke									
RMCA_ENT_143_BOX_2	DIPTERAE	specimen		Asarkina africana	Royal Museum for Central Africa	Colonial Palace	box	143	2	dry		taxonomy_source	gbif	author_gbif	"Bezzi, 1908"	name_in_source	Asarkina africana 	author_in_source_species	Bezzi									
RMCA_ENT_143_BOX_2	DIPTERAE	specimen		Asarkina albifacies	Royal Museum for Central Africa	Colonial Palace	box	143	2	dry		taxonomy_source	gbif	author_gbif	"Bezzi, 1915"	name_in_source	Asarkina albifacies 	author_in_source_species	Bezzi									
RMCA_ENT_143_BOX_2	DIPTERAE	specimen		Asarkina amoena	Royal Museum for Central Africa	Colonial Palace	box	143	2	dry		taxonomy_source	gbif	author_gbif	"Austen, 1909"	name_in_source	Asarkina amoena 	author_in_source_species	Austen									
RMCA_ENT_143_BOX_2	DIPTERAE	specimen		Asarkina angustata	Royal Museum for Central Africa	Colonial Palace	box	143	2	dry		taxonomy_source	gbif	author_gbif	"Becker, 1909"	name_in_source	Asarkina angustata 	author_in_source_species	Becker									
RMCA_ENT_143_BOX_2	DIPTERAE	specimen		Asarkina eremophila	Royal Museum for Central Africa	Colonial Palace	box	143	2	dry		taxonomy_source	gbif	author_gbif	"Loew, 1858"	name_in_source	Asarkina eremophila 	author_in_source_species	Loew									
RMCA_ENT_143_BOX_2	DIPTERAE	specimen		Asarkina ericetorum	Royal Museum for Central Africa	Colonial Palace	box	143	2	dry		taxonomy_source	gbif	author_gbif	"(Fabricius, 1781)"	name_in_source	Asarkina ericetorum (=usambarensis) 	author_in_source_species	Fabr. (Bezzi)									
RMCA_ENT_143_BOX_3	DIPTERAE	specimen		Asarkina fulva	Royal Museum for Central Africa	Colonial Palace	box	143	3	dry		taxonomy_source	gbif	author_gbif	"Hull, 1941"	name_in_source	Asarkina fulva 	author_in_source_species	Hull									
RMCA_ENT_143_BOX_3	DIPTERAE	specimen		Asarkina gemmata	Royal Museum for Central Africa	Colonial Palace	box	143	3	dry		taxonomy_source	gbif	author_gbif	"Bezzi, 1915"	name_in_source	Asarkina gemmata 	author_in_source_species	Bezzi									
RMCA_ENT_143_BOX_3	DIPTERAE	specimen		Asarkina hirsuticeps	Royal Museum for Central Africa	Colonial Palace	box	143	3	dry		taxonomy_source	gbif	author_gbif	"Bezzi, 1915"	name_in_source	Asarkina hirsuticeps 	author_in_source_species	Bezzi									
