Taxon_Notes	IdentifiedBy	IdentificationDay	IdentificationMonth	IdentificationYear	TypeStatus	Identification_Notes	ParasiteSpecies	ParasiteIdentifier	HostSpecies	HostIdentifier	UnitID	additionalID	collection_imported	accessionNumber	label_created_by	media_files	Notes	acquisitionType 	acquiredFrom	acquisitionDay	acquisitionMonth	acquisitionYear	Acquisition_Notes	sex	lifeStage	maleCount	femaleCount	juvenileCount	totalNumber	notes_Counts	sampling_code	building	floor	room	row	column	shelf	specimen_status	KindOfUnit 	ContainerName	ContainerType	ContainerStorage	SubcontainerName	SubcontainerType	SubcontainerStorage	StorageNotes	DNA_Tag	DNA_box	DNA_tube	DNA_HPos	DNA_VPos	DNA_Notes	FullScientificName	secondary	collectedBy	samplingMethod	expedition_project	collectionStartDay	collectionStartMonth	collectionStartYear	collectionStartTimeH	collectionStartTimeM	collectionEndDay	collectionEndMonth	collectionEndYear	collectionEndTimeH	collectionEndTimeM
					Cotype						IRSNB M 0251			17172																	IRSNB M 0240a-f								corroded femur														Nanophoca vitulinoides	part-A													
					Figured specimen						IRSNB M 0252			8912																	IRSNB M 0209								M/2														Lophiotherium pygmaeum	part-A													
					Figured specimen						IRSNB M 0253			8912																	IRSNB M 0253								porterior part of a M/3														Lophiotherium pygmaeum	part-A													
					Figured specimen						IRSNB M 0254		Van der Bruggen	8816			Collection Van der Bruggen														IRSNB M 0254								R M/3														Lophiotherium	part-A													
					Cotype						IRSNB M 0255a-b			17172																	IRSNB M 0240a-f								"M255a: trunk vertebra, M255b: lombar vertebra"														Monatherium delognii	part-A													
					Cotype						IRSNB M 0256a-b			17172																	IRSNB M 0240a-f								"M256a: caudal vertebra, M256b: 2nd sternum"														Monatherium delognii	part-A													
					Cotype						IRSNB M 0257a-b			17172																	IRSNB M 0203								"M257a: ilium, M257b: sacrum + ilium"														Monatherium delognii	part-A													
					Figured specimen						IRSNB M 0258			8912																	IRSNB M 0209								posterior part of a Mx/														Propalaeotherium isselanum	part-A													
					Figured specimen						IRSNB M 0259			8912																	IRSNB M 0259								M2/														Lophiodon medium	part-A													
					Lectotype						IRSNB M 0260			17172																	IRSNB M 0203								R humerus														Frisiphoca affine	part-A													
					Cotype						IRSNB M 0261 a-b			17172																	IRSNB M 0240a-f								M261a: ulna fragment; M261b: L radius														Frisiphoca affine	part-A													
					Cotype						IRSNB M 0262			17172																	IRSNB M 0240a-f								astragalus														Frisiphoca affine	part-A													
					Cotype						IRSNB M 0263			17172																	IRSNB M 0240a-f								calcaneum														Frisiphoca affine	part-A													
					Cotype						IRSNB M 0264			17172																	IRSNB M 0240a-f								partial tibia														Frisiphoca affine	part-A													
					Figured specimen						IRSNB M 0265			8912																	IRSNB M 0209								P2/														Chasmotherium minimum	part-A													
					Lectotype						IRSNB M 0266			17172																	IRSNB M 0240a-f								R humerus														Frisiphoca aberrata	part-A													
					Cotype						IRSNB M 0267			17172																	IRSNB M 0240a-f								radius														Frisiphoca aberrata	part-A													
					Cotype						IRSNB M 0268			17172																	IRSNB M 0240a-f								4th sternebra														Frisiphoca aberrata	part-A													
					Cotype						IRSNB M 0269a-b			17172																	IRSNB M 0240a-f								M269a: 5th trunk vertebra; M269b: cervical vertebra														Frisiphoca aberrata	part-A													
					Cotype						IRSNB M 0270a-b			17172																	IRSNB M 0240a-f								M270a: 5th L phalanx; M270b: 5th L metacarpian														Frisiphoca aberrata	part-A													
					Cotype						IRSNB M 0271a-b			17172																	IRSNB M 0203								M271a: 3rd cuneiform + metatarsal 2 & 3; M271b: L fibula														Frisiphoca aberrata	part-A													
					Cotype						IRSNB M 0272			17172																	IRSNB M 0240a-f								astragalus														Frisiphoca aberrata	part-A													
					Cotype						IRSNB M 0273a-o			17172																	IRSNB M 0219								M273a-c: caudal vertebrae; M273d: calcaneum; M273e: cuboïde; M273f: scaphoïde; M273g: 2nd R metatarsal; M273h: 1st metatarsal; M273i: 1st L metatarsal; M273j: 5th R metatarsal; M273k: 3rd L metatarsal; M273l-n: posterior phalanx; M273o: penial bone														Frisiphoca aberrata	part-A													
					Cotype						IRSNB M 0274			17172																	IRSNB M 0274								partial R humerus														Prophoca rousseaui	part-A													
					Cotype						IRSNB M 0275			17172																	IRSNB M 0274								L radius														Prophoca rousseaui	part-A													
					Cotype						IRSNB M 0276a-d			17172																	IRSNB M 0173a-c								M276a-b: lombar vert.; M276c: 1st sacral vert.; M276d: ilium														Prophoca rousseaui	part-A													
					Cotype						IRSNB M 0277a-b			17172																	IRSNB M 0187								M277a: R femur; M277b: L tibia														Prophoca rousseaui	part-A													
					Figured specimen						IRSNB M 0278a-b			8225																	IRSNB M 0278a-b								M278a: antler; M278b: fragment of wood														Cervus ertborni	part-A													
					Lectotype						IRSNB M 0279			17172																	IRSNB M 0240a-f								L humerus														Leptophoca proxima	part-A													
					Cotype						IRSNB M 0280a-b			17172																	IRSNB M 0240a-f								M280a: L radius; M280b: L ulna														Leptophoca proxima	part-A													
					Holotype						IRSNB M 0282			17172																	IRSNB M 0203								L femur														Phoca straeleni	part-A													
					Cotype						IRSNB M 0283			17172																	IRSNB M 0240a-f								R femur														Phoca straeleni	part-A													
					Cotype						IRSNB M 0284			17172																	IRSNB M 0240a-f								Femur														Phoca straeleni	part-A													
