UnitID	AcquisitionYear	AcquisitionMonth	AcquisitionDay	Original_aquisition_date	CollectedBy	Comments	name_remarks	wood_number	Herbarium_number	TaxonID	FullScientificName	name_status	accepted_name	continent	Country	LocalityText	exact_site	Tv_coupe	Tg_coupe	R_coupe	maceration	Column	KindOfUnit	SubcontainerType	SubcontainerName	microtomist	coupe_entry_date	coupe_project	coupe_remarks	Tw_images	legends	ranks	sample_form	Building	Room	current_sample_position	last_update	xylotheek_ID	xylotheek_kast	xylotheek_legger	xylotheek_remarks	Locality_on_Google_Maps	Density															
Tw10177	1961	4	9		Dechamps, Roger					SN4809	Erythrophleum suaveolens (Guill. & Perr.) Brenan	accepted		Africa	Congo, Democratic Republic of the	Kasai		1	1	1		4	coupe	drawer	28									CAPA	spare collection (basement)																							
Tw10178	1961	4	9		Dechamps, Roger	?				SN10449	Pycnanthus marchalianus Ghesq.	accepted		Africa	Congo, Democratic Republic of the	Kasai																		CAPA	spare collection (basement)																							
Tw10179	1961	4	9		Dechamps, Roger					SN3061	Cola acuminata (P. Beauv.) Schott & Endl.	accepted		Africa	Congo, Democratic Republic of the	Kasai		1	1	1	1	8	coupe	drawer	13									CAPA	spare collection (basement)																							
Tw10180	1961	4	9		Dechamps, Roger					SN7513	Macaranga schweinfurthii Pax	accepted		Africa	Congo, Democratic Republic of the	Kasai		1	1	1		3 | 15	coupe | sample	drawer | xylotheek cabinet	12 | 6									CAPA	Xylarium ground floor	Xylarium ground floor		3661	15	6																		
Tw10181	1961	4	9		Dechamps, Roger					SN5604	Garcinia ovalifolia Oliv.	accepted		Africa	Congo, Democratic Republic of the	Kasai		1	1	1		3 | 18	coupe | sample	drawer | xylotheek cabinet	28 | 4									CAPA	Xylarium ground floor	Xylarium ground floor		4378	18	4			0,810680529															
Tw10182	1961	4	9		Dechamps, Roger					SN11441	Scottellia coriacea A. Chev. ex Hutch. & Dalziel	synonym	Scottellia klaineana	Africa	Congo, Democratic Republic of the	Kasai		3	3	3		3	coupe	drawer	24	Kévin Liévens	22/08/2019		anciennes + nouvelles coupes					CAPA	spare collection (basement)																							
Tw10183	1961	4	9		Dechamps, Roger					SN497	Albizia adianthifolia (Schumach.) W. Wight	accepted		Africa	Congo, Democratic Republic of the	Kasai		1	1			5	coupe	drawer	9								Book	CAPA	spare collection (basement)	spare collection (basement)	19/09/216																					
Tw10184	1961	4	9		Dechamps, Roger					SN6382	Hymenocardia ulmoides Oliv.	accepted		Africa	Congo, Democratic Republic of the	Kasai		1	1	1		3	coupe	drawer	11									CAPA	spare collection (basement)																							
Tw10185	1961	4	9		Dechamps, Roger					SN12018	Strychnos pungens Soler.	accepted		Africa	Congo, Democratic Republic of the	Kasai		1	1	1		8	coupe	drawer	17									CAPA	spare collection (basement)																							
Tw10186	1961	4	9		Dechamps, Roger					SN8768	Omphalocarpum 	indet - genus		Africa	Congo, Democratic Republic of the	Kasai		1	1	1		8	coupe	drawer	8									CAPA	spare collection (basement)																							
Tw10187	1961	4	9		Dechamps, Roger					SN2885	Cleistanthus mildbraedii Jabl.	synonym	Cleistanthus caudatus	Africa	Congo, Democratic Republic of the	Kasai		1	1	1		3	coupe	drawer	5									CAPA	spare collection (basement)																							
Tw10188	1961	4	9		Dechamps, Roger					SN9747	Planchonella subnuda (Baker) Baehni 	synonym	Chrysophyllum subnudum	Africa	Congo, Democratic Republic of the	Kasai		1	1	1		8	coupe	drawer	8									CAPA	spare collection (basement)																							
Tw10189	1961	4	9		Dechamps, Roger					SN5605	Garcinia punctata Oliv.	accepted		Africa	Congo, Democratic Republic of the	Kasai		1	1	1		3	coupe	drawer	28									CAPA	spare collection (basement)																							
Tw10190	1961	4	9		Dechamps, Roger	Cathormion l./Albizia l.				SN11216	Samanea leptophylla (Harms) Brenan & Brummitt	accepted		Africa	Congo, Democratic Republic of the	Kasai		1	1	1		5 | 25	coupe | sample	drawer | xylotheek cabinet	17 | 1									CAPA	Xylarium ground floor	Xylarium ground floor		6421	25	1																		
Tw10191	1961	4	9		Dechamps, Roger					SN6974	Lannea welwitschii (Hiern) Engl.	accepted		Africa	Congo, Democratic Republic of the	Kasai		1	1	1		1 | 1	coupe | sample	drawer | xylotheek cabinet	5 | 5									CAPA	Xylarium ground floor	Xylarium ground floor		226	1	5																		
Tw10192	1961	4	9		Dechamps, Roger					SN8120	Millettia laurentii De Wild.	accepted		Africa	Congo, Democratic Republic of the	Kasai																		CAPA	Xylarium ground floor	Xylarium ground floor		6893	26	6																		
Tw10193	1961	4	9		Dechamps, Roger					SN7636	Majidea fosteri (Sprague) Radlk.	accepted		Africa	Congo, Democratic Republic of the	Kasai		4	4	4		8 | 42	coupe | sample	drawer | xylotheek cabinet	3 | 7									CAPA	Xylarium ground floor	Xylarium ground floor		11079	42	7																		
Tw10194	1961	4	9		Dechamps, Roger					SN8199	Monodora tenuifolia Benth.	accepted		Africa	Congo, Democratic Republic of the	Kasai		1	1	1		1 | 2	coupe | sample	drawer | xylotheek cabinet	13 | 5									CAPA	Xylarium ground floor	Xylarium ground floor		502	2	5			0,591515566															
