UnitID	CollectedBy	Comments	name_remarks	wood_number	Herbarium_number	TaxonID	FullScientificName	name_status	accepted_name	continent	Country	LocalityText	exact_site	Tv_coupe	Tg_coupe	R_coupe	maceration	Column	KindOfUnit	SubcontainerType	SubcontainerName	microtomist	coupe_entry_date	coupe_project	coupe_remarks	Tw_images	legends	ranks	sample_form	Building	Room	current_sample_position	last_update	xylotheek_ID	xylotheek_kast	xylotheek_legger	xylotheek_remarks	Locality_on_Google_Maps	Density															
Tw50128	Dechamps, Roger				10257	SN10988	Rosa canina L.	accepted		Europe	France	Ardeche																		CAPA	spare collection (basement)																							
Tw50129	Dechamps, Roger				10274	SN11000	Rosa 	indet - genus		Europe	France	Ardeche																		CAPA	spare collection (basement)																							
Tw50130	Dechamps, Roger				10248	SN10996	Rosa rubiginosa L.	accepted		Europe	France	Ardeche																		CAPA	spare collection (basement)																							
Tw50131	Dechamps, Roger				10308 B	SN13020	Valeriana tripteris L.	accepted		Europe	France	Ardeche																		CAPA	spare collection (basement)																							
Tw50132	Dechamps, Roger				10302	SN10928	Ribes uva-crispa L.	accepted		Europe	France	Ardeche																		CAPA	spare collection (basement)																							
Tw50133	Dechamps, Roger				10308 A	SN13020	Valeriana tripteris L.	accepted		Europe	France	Ardeche																		CAPA	spare collection (basement)																							
Tw50134	Dechamps, Roger				10241	SN11002	Rosa villosa L.	accepted		Europe	France	Ardeche																		CAPA	spare collection (basement)																							
Tw50135	Dechamps, Roger				10309	SN5662	Genista pilosa L.	accepted		Europe	France	Ardeche																		CAPA	spare collection (basement)																							
Tw50136	Dechamps, Roger				10279	SN12587	Thymus 	indet - genus		Europe	France	Ardeche																		CAPA	spare collection (basement)																							
Tw50137	Dechamps, Roger				10298	SN5662	Genista pilosa L.	accepted		Europe	France	Ardeche																		CAPA	spare collection (basement)																							
Tw50138	Dechamps, Roger				10277	SN10988	Rosa canina L.	accepted		Europe	France	Ardeche																		CAPA	spare collection (basement)																							
Tw50139	Dechamps, Roger				10242	SN11806	Sorbus 	indet - genus		Europe	France	Ardeche																		CAPA	spare collection (basement)																							
Tw50140	Dechamps, Roger				10281	SN5665	Genista scorpius (L.) DC.	accepted		Europe	France	Ardeche																		CAPA	spare collection (basement)																							
Tw50141	Dechamps, Roger				10306	SN10994	Rosa pendulina L.	accepted		Europe	France	Ardeche																		CAPA	spare collection (basement)																							
Tw50142	Dechamps, Roger				10259	SN11000	Rosa 	indet - genus		Europe	France	Ardeche																		CAPA	spare collection (basement)																							
Tw50143	Dechamps, Roger				10307	SN11163	Salix cinerea L.	accepted		Europe	France	Ardeche																		CAPA	spare collection (basement)																							
Tw50144	Dechamps, Roger				10285	SN5703	Gleditsia triacanthos L.	accepted		Europe	France	Ardeche																		CAPA	spare collection (basement)																							
Tw50145	Dechamps, Roger				10280	SN10196	Prunus mahaleb L.	accepted		Europe	France	Ardeche																		CAPA	spare collection (basement)																							
Tw50146	Dechamps, Roger				10258	SN11196	Salix 	indet - genus		Europe	France	Ardeche																		CAPA	spare collection (basement)																							
Tw50147	Dechamps, Roger				3138	SN11000	Rosa 	indet - genus		Europe	Belgium	Luxembourg																		CAPA	spare collection (basement)																							
Tw50148	Dechamps, Roger				3137	SN11000	Rosa 	indet - genus		Europe	Belgium	Luxembourg																		CAPA	spare collection (basement)																							
Tw50149	Dechamps, Roger					SN11158	Salix caprea L.	accepted		Europe	Belgium	Brabant																		CAPA	spare collection (basement)																							
Tw50150	Instituto de Investigaciones Forestales			216		SN4039	Dichrostachys cinerea (L.) Wight & Arn.	accepted		North America	Cuba			1	1	1			coupe	drawer	12									CAPA	spare collection (basement)																							
Tw50151	Instituto de Investigaciones Forestales			236 A		SN12860	Trophis racemosa (L.) Urb.	accepted		North America	Cuba			1	1	1			coupe	drawer	26									CAPA	spare collection (basement)																							
Tw50152	Instituto de Investigaciones Forestales					SN10126	Protium fragrans (Rose) Urb.	accepted		North America	Cuba			1	1	1			coupe	drawer	5									CAPA	spare collection (basement)																							
Tw50153	Instituto de Investigaciones Forestales					SN3932	Dendrocereus nudiflorus (Engelm.) Britton & Rose 	accepted		North America	Cuba	Matanzas		1	1	1			coupe	drawer	6									CAPA	spare collection (basement)																							
Tw50154	Instituto de Investigaciones Forestales					SN5910	Guettarda combsii Urb.	accepted		North America	Cuba			1	1	1			coupe	drawer	23									CAPA	spare collection (basement)																							
Tw50155	Instituto de Investigaciones Forestales			47314		SN3758	Cyrilla racemiflora L.	accepted		North America	Cuba			1	1	1														CAPA	spare collection (basement)																							
Tw50156	Instituto de Investigaciones Forestales					SN6205	Hildegardia cubensis (Urb.) Kosterm. 	accepted		North America	Cuba			1	1	1			coupe	drawer	14									CAPA	spare collection (basement)																							
Tw50157	Instituto de Investigaciones Forestales					SN2264	Casearia guianensis (Aubl.) Urb.	accepted		North America	Cuba			1	1	1			coupe	drawer	21									CAPA	spare collection (basement)																							
