sampling_code	continent	country	original_administrative_data	province	municipality	ocean	sea	exact_site	LatitudeDecimal	LongitudeDecimal	LatitudeDecimal_end	LongitudeDecimal_end	Coord_Origins	GTU_Webservice	Webservice_GTU_id	Webservice_URL	GPS_Weight	WKT	coordinates_accuracy	coordinates_original	sampling_elevation_start	sampling_elevation_end	sampling_elevation_accuracy	sampling_depth_start	sampling_depth_end	sampling_depth_accuracy	station_baseline_elevation	station_baseline_accuracy	iso3166	coordinates_format	latitude_1	longitude_1	latitude_2	longitude_2	collector	sampling_method	expedition	collecting_day_start	collecting_month_start	collecting_year_start	collecting_time_start	collecting_day_end	collecting_month_end	collecting_year_end	collecting_time_end	station_notes	Sampling_Hour	ecology_Water_temperature	ecology_PH	ecology_Salinity	ecology_TSS	ecology_Streamflow	ecology_mV	ecology_Conductivity	ecology_O2_Perc	ecology_O2_mg	ecology_air_pressure	ecology_Air_Temperature	ecology_Relative_Humidity	ecology	biogeo_realms_no_marine	biogeo_realms_marine	biome_terr	biome_freshwater	biome_marine	biotope
IRSNB M 0816	Europe	Belgium						Antwerp Province, Borsbeek°'																					BE																																					
IRSNB M 0823	Europe	Belgium						Antwerp Province, Antwerpen, Austruweel, 1er section°'																					BE																																					
IRSNB M 0825	Europe	Belgium						Antwerp Province, Antwerpen, 3rd section, fort n°6, fossé du ravelin°'																					BE																																					
IRSNB M 0826	Europe	Belgium						Antwerp Province, Antwerpen, 2nd section (Stuyvenberg)°'																					BE																																					
IRSNB M 0831	Europe	Belgium						Antwerp Province, Antwerpen, 3rd section, bord du fossé capital°'																					BE																																					
IRSNB M 0832	Europe	Belgium						Antwerp Province, Antwerpen, 3rd section, niveau canal d'Herenthals°'																					BE																																					
IRSNB M 0843a-b	Europe	Belgium						Antwerp Province, Antwerpen, fort n°2°'																					BE																																					
IRSNB M 0853a-f²	Europe	Belgium						"Antwerp Province, Antwerpen, 2nd section (Stuyvenberg) lettre g, n°110, entre la ""copossière"" 3 et 4g°'"																					BE																	Formation Kattendijk																				
IRSNB M 0854	Europe	Belgium						Antwerp Province, Antwerpen, 2nd section°'																					BE																	Formation Kattendijk																				
IRSNB M 0857	Europe	Belgium						Antwerp Province, Antwerpen°'																					BE																	Formation Kattendijk																				
IRSNB M 0879a-f	Europe	Belgium						Antwerp Province, Oorderen (old village in the north of Antwerp, destroyed in order to enlarge the port), 1st écluse du Kruisschans°'																					BE																	-3,70 m																				
IRSNB M 0880a-c	Europe	Belgium						Antwerp Province, Oorderen (old village in the north of Antwerp, destroyed in order to enlarge the port), 1st écluse du Kruisschans°'																					BE																	-7,80 m																				
IRSNB M 0881	Europe	Belgium						Antwerp Province, Antwerpen, darse, 1, 2°'																					BE																																					
IRSNB M 0883	Europe	Belgium						Antwerp Province, Antwerpen, 2nd section (fossé capital, ?. 125, partie gauche de la camponière n°3, vers Stayoevebug)°'																					BE																																					
IRSNB M 0903a-b	Europe	Belgium						Antwerp Province, Oosterweel (Austruweel), 1st section°'																					BE																																					
IRSNB M 0892	Europe	Belgium						Antwerp Province, Antwerpen, 1st section°'																					BE																	Formation Kattendijk																				
IRSNB M 0897	Europe	Belgium						Antwerp Province,  Wijnegem°'																					BE																																					
IRSNB M 0905	Europe	Belgium						Flemish Brabant Province, Dormaal°'																					BE																																					
IRSNB M 0915	Europe	Belgium						Province du Hainaut, Erquelinnes (Jeumont)°'																					BE																																					
IRSNB M 0920	Europe	Belgium						Province de Flandre-Orientale, Canal de Zelzaete°'																					BE																																					
IRSNB M 0973	Europe	Belgium						Province de Namur, Caverne de Hastière°'																					BE																	1er niveau																				
IRSNB M 0929	Europe	Belgium						Province de Namur, Caverne de Hastière°'																					BE																	2eme niveau																				
IRSNB M 0945	Europe	Belgium						Province de Namur, Caverne de Hastière°'																					BE																	3eme niveau																				
IRSNB M 0956	Europe	Belgium						Province de Namur, Caverne de Hastière°'																					BE																	5eme niveau																				
IRSNB M 0961	Europe	Belgium						Province de Namur, Caverne de Hastière°'																					BE																	4eme niveau																				
IRSNB M 0988	Europe	Belgium						Province de Namur, Montaigles, Trou du Sureau°'																					BE																	4eme niveau																				
IRSNB M 1003	Europe	Belgium						Province de Namur, Walzin, Trou de la Naulette°'																					BE																	3eme niveau																				
IRSNB M 1104	Europe	Belgium						Province de Namur, Caverne de Goyet°'																					BE																																					
IRSNB M 1107	Europe	Belgium						Province d'Anvers, Kontich (Contich) ou Burght (near Hoboken)°'																					BE																	Argile de Boom																				
IRSNB M 1108	Europe	Belgium						Province d'Anvers, Antwerpeen°'																					BE																																					
IRSNB M 1126	Europe	Belgium						Province du Brabant flamand, Boutersem (Hoogbutsel) (Pl. XXXII, pt.1)°'																					BE																																					
IRSNB M 1136	Europe	Belgium						Province du Brabant flamand, Hoeleden (Pl. XXXII, pt.7)°'																					BE																																					
IRSNB M 1150	Europe	France						Quercy, Caylux°'																					FR																	Phosphorite de Caylux																				
IRSNB M 1153	Europe	Belgium						Province du Brabant flamand, Wemmel (Pl. XXXI, pt. 17)°'																					BE																	cailloutis de la base des sables chamois																				
IRSNB M 1160	Europe	Belgium						Province du Brabant flamand, Dormaal (Pl. XXXIII, pt. 1)°'																					BE																	Tienen Formation																				
IRSNB M 1191	Europe	Belgium						Province du Brabant flamand, Boutersem (Hoogbutsel)°'																					BE																																					
IRSNB M 1235bis	Europe	Belgium						Province du Brabant flamand, Dormaal (Pl. XXXIII, pt. 1)°'																					BE																																					
IRSNB M 1241	Europe	Belgium						Province du Brabant flamand, Dormaal°'																					BE																	Tienen Formation																				
IRSNB M 1321	Europe	Belgium						Dormaal, Vlaamse Brabant Province (Pl. XXXIII, pt. 1)°'																					BE																																					
IRSNB M 1324	Europe	Belgium						Dormaal, Vlaamse Brabant Province°'																					BE																	Tienen Formation																				
IRSNB M 1329	Europe	Belgium						Dormaal, Vlaamse Brabant Province°'																					BE																	Tienen Formation, niveau DI																				
IRSNB M 1331	Europe	Belgium						Vlaamse Brabant Province, Dormaal°'																					BE																	Tienen Formation																				
IRSNB M 1343	Europe	Belgium						Dormaal, Vlaamse Brabant Province (Pl. XXXIII, pt. 1)°'																					BE																	Tienen Formation																				
IRSNB M 1355	Europe	Belgium						Dormaal, Province du Brabant flamand°'																					BE																																					
IRSNB M 1366	Europe	Belgium						Province de Namur, Montaigles, Trou de l'Erable°'																					BE																	2eme niveau																				
IRSNB M 1368	Europe	Belgium						Province de Namur, Caverne de Walzin, Trou de la Naulette°'																					BE																	3eme niveau																				
IRSNB M 1369	Europe	Belgium						Province de Namur, Caverne de Walzin, Trou de l'Hyène°'																					BE																	3eme niveau																				
IRSNB M 1370	Europe	Belgium						Province de Namur, Pont-à-Lesse, Trou de Pont-à-Lesse°'																					BE																																					
IRSNB M 1371	Europe	Belgium						Province de Namur, Pont-à-Lesse, Trou de la Martina°'																					BE																																					
IRSNB M 1372	Europe	Belgium						Province de Namur, Pont-à-Lesse, Trou Magrite°'																					BE																																					
IRSNB M 1384	Europe	Belgium						Province de Namur, Walzin, Trou de l'Hyène°'																					BE																																					
IRSNB M 1386	Europe	Belgium						Province de Namur, Walzin, Trou de l'Ours°'																					BE																																					
IRSNB M 1388	Europe	Belgium						Province de Namur, Hastière, Caverne de Freyr°'																					BE																	Limon fluvial																				
IRSNB M 1408	Europe	Belgium						Province de Namur, Pont-à-Lesse, Trou Magrite°'																					BE																	3ème niveau																				
