UnitID	AcquisitionYear	AcquisitionMonth	AcquisitionDay	CollectedBy	Comments	name_remarks	wood_number	Herbarium_number	TaxonID	FullScientificName	name_status	accepted_name	continent	Country	LocalityText	exact_site	Tv_coupe	Tg_coupe	R_coupe	maceration	Column	KindOfUnit	SubcontainerType	SubcontainerName	microtomist	coupe_entry_date	coupe_project	coupe_remarks	Tw_images	legends	ranks	sample_form	Building	Room	current_sample_position	last_update																					
Tw70112	2016	11	28	Moses LIBALAH					SN12475	Trichilia prieuriana 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70113	2016	11	28	Moses LIBALAH					SN2520	Strombosia pustulata 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70114	2016	11	28	Moses LIBALAH					SN9302	Desbordesia insignis 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70115	2016	11	28	Moses LIBALAH					SN12475	Cola lateritia 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70116	2016	11	28	Moses LIBALAH					SN7752	Celtis adolfi-friderici 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70117	2016	11	28	Moses LIBALAH					SN9302	Staudtia kamerunensis 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70118	2016	11	28	Moses LIBALAH					SN12834	Trichilia prieuriana 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70119	2016	11	28	Moses LIBALAH					SN18525	Strombosia pustulata 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70120	2016	11	28	Moses LIBALAH					SN779	Mansonia altissima 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70121	2016	11	28	Moses LIBALAH					SN11974	Terminalia superba 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70122	2016	11	28	Moses LIBALAH					SN9302	Pterocarpus soyauxii 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70123	2016	11	28	Moses LIBALAH					SN16596	Trichilia prieuriana 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70124	2016	11	28	Moses LIBALAH					SN5555	Petersianthus macrocarpus 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70125	2016	11	28	Moses LIBALAH					SN9302	Afrostyrax lepidophyllus 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70126	2016	11	28	Moses LIBALAH					SN9302	Entandrophragma cylindricum 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70127	2016	11	28	Moses LIBALAH					SN6825	Cola lateritia 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70128	2016	11	28	Moses LIBALAH					SN16596	Annickia affinis 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70129	2016	11	28	Moses LIBALAH					SN10447	Petersianthus macrocarpus 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70130	2016	11	28	Moses LIBALAH					SN5555	Trichilia prieuriana 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70131	2016	11	28	Moses LIBALAH					SN13647	Desbordesia insignis 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70132	2016	11	28	Moses LIBALAH					SN9302	Celtis adolfi-friderici 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70133	2016	11	28	Moses LIBALAH					SN5555	Chrysophyllum boukokoënse 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70134	2016	11	28	Moses LIBALAH					SN11977	Petersianthus macrocarpus 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70135	2016	11	28	Moses LIBALAH					SN9302	Strombosia pustulata 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70136	2016	11	28	Moses LIBALAH					SN779	Funtumia elastica 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70137	2016	11	28	Moses LIBALAH					SN12769	Mansonia altissima 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70138	2016	11	28	Moses LIBALAH					SN18497	Petersianthus macrocarpus 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70139	2016	11	28	Moses LIBALAH					SN3046	Funtumia elastica 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70140	2016	11	28	Moses LIBALAH					SN16596	Mansonia altissima 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70141	2016	11	28	Moses LIBALAH					SN11977	Petersianthus macrocarpus 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70142	2016	11	28	Moses LIBALAH					SN2729	Mansonia altissima 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70143	2016	11	28	Moses LIBALAH					SN18497	Terminalia superba 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70144	2016	11	28	Moses LIBALAH					SN18497	Celtis adolfi-friderici 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70145	2016	11	28	Moses LIBALAH					SN5555	Petersianthus macrocarpus 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
Tw70146	2016	11	28	Moses LIBALAH					SN12787	Terminalia superba 																						Tree core	CAPA	spare collection (basement)	spare collection (basement)	11/01/2017																					
