TaxonID	FullScientificName	Kingdom	Class	Order	Genus	species	author_team_and_year 	Family	referenceString	BasionymName	identificationNotes	AcceptedName	view_taxon	Synonymy_info
SN18106	Steganthera laxiflora	Plantae	Magnoliopsida	Laurales	Steganthera	laxiflora	(Benth.) Foreman & Whiffin	Monimiaceae	Flora of Australia 2: 452. 2007.	"Kibara laxiflora Benth.; Fl. Austral. 5: 289. 1870 [Aug-Oct 1870] "		this name is accepted		Kibara laxiflora Benth.
SN11883	Stemmadenia donnell-smithii	Plantae	Magnoliopsida	Gentianales	Stemmadenia	donnell-smithii	(Rose) Woodson	Apocynaceae	Annals of the Missouri Botanical Garden 15(4): 369. 1928.	"Tabernaemontana donnell-smithii Rose; Botanical Gazette 18(6): 206. 1893. "		this name is accepted		"Tabernaemontana donnell-smithii Rose ;Tabernaemontana donnell-smithii var. costaricensis Donn. Sm."
SN11884	Stemmadenia grandiflora	Plantae	Magnoliopsida	Gentianales	Stemmadenia	grandiflora	(Jacq.) Miers	Apocynaceae	On the Apocynaceae of South America 75. 1878.	"Tabernaemontana grandiflora Jacq.; Enumeratio Systematica Plantarum 14. 1760. "		this name is accepted		"Tabernaemontana grandiflora Jacq. ;Malouetia riparia (Kunth) A. DC.;Stemmadenia pauciflora Woodson;Stemmadenia pennellii Woodson;Tabernaemontana riparia Kunth"
SN13607	Stemonocoleus micranthus	Plantae	Magnoliopsida	Fabales	Stemonocoleus	micranthus	Harms	Fabaceae	Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie 38: 77, f. 7. 1907.			this name is accepted		
SN11885	Stemonoporus affinis	Plantae	Magnoliopsida	Malvales	Stemonoporus	affinis	Thw. 	Dipterocarpaceae	Hook. Kew Journ. vi. (1854) 68.	          		this name is accepted		
SN11886	Stemonoporus lanceolatus	Plantae	Magnoliopsida	Malvales	Stemonoporus	lanceolatus	Thw. 	Dipterocarpaceae	Hook. Kew Journ. vi. (1854) 68.			this name is accepted		
SN11887	Stemonoporus zeylanicus	Plantae	Magnoliopsida	Malvales	Stemonoporus	zeylanicus	(Wight) Alston 	Dipterocarpaceae	Trimen, Hand -Book Fl. Ceylon, vi. Suppl. 26 (1931).	"Vateria ceylanica Wight; Illustr. i. 88. "		ND		
SN15344	Stemonurus australianus	Plantae	Magnoliopsida	Aquifoliales	Stemonurus	australianus	(F.Muell.) Kuntze	Stemonuraceae	Revisio Generum Plantarum 1 1891 	"Gomphandra australiana F.Muell.; Fragmenta Phytographiae Australiae 6 1868. "		Gomphandra australiana F.Muell. 	SN14905	Gomphandra australiana F.Muell.
SN11888	Stemonurus umbellatus	Plantae	Magnoliopsida	Aquifoliales	Stemonurus	umbellatus	Becc.	Stemonuraceae	Malesia, i. (1877) 115.			this name is accepted		
SN15345	Stenocarpus cryptocarpus	Plantae	Magnoliopsida	Proteales	Stenocarpus	cryptocarpus	D.B.Foreman & B.P.M.Hyland	Proteaceae	Muelleria, 6(6): 422 (1988).			this name is accepted		
SN15346	Stenocarpus cunninghamii	Plantae	Magnoliopsida	Proteales	Stenocarpus	cunninghamii	R. Br.	Proteaceae	Prodromus Florae Novae Hollandiae - Suppl. 1. Proteaceas Novas 1830 			this name is accepted		
SN15347	Stenocarpus davallioides	Plantae	Magnoliopsida	Proteales	Stenocarpus	davallioides	D.B.Foreman & B.P.M.Hyland	Proteaceae	Muelleria, 6(6): 419 (1988).			this name is accepted		
SN11889	Stenocarpus reticulatus	Plantae	Magnoliopsida	Proteales	Stenocarpus	reticulatus	C.T. White	Proteaceae	Queensland Department of Agriculture & Stock. Botany Bulletin 21 (Feb. 1919) 17, t. 7.			this name is accepted		
SN11890	Stenocarpus salignus	Plantae	Magnoliopsida	Proteales	Stenocarpus	salignus	R. Br.	Proteaceae	Transactions of the Linnean Society of London (8 Mar. 1810) 202.			this name is accepted		
SN11891	Stenocarpus sinuatus	Plantae	Magnoliopsida	Proteales	Stenocarpus	sinuatus	(Loudon) Endl.	Proteaceae	Genera Plantarum Suppl. 4(2) (Aug.-Oct. 1848) 88.	"Agnostus sinuata Loudon; Loudon's Hortus Britannicus Suppl. 1 (1832) 580."		this name is accepted		
SN17932	Stenocereus fimbriatus	Plantae	Magnoliopsida	Caryophyllales	Stenocereus	fimbriatus	(Lam.) Lourteig	Cactaceae	Bradea, Boletim do Herbarium Bradeanum 5(44): 408. 1991.	"Cactus fimbriatus Lam.; Encyclopédie Méthodique, Botanique 1: 539. 1783."		this name is accepted		"Cactus fimbriatus Lam.;Lemaireocereus hystrix (Haw.) Britton & Rose;Stenocereus hystrix (Haw.) Buxb.;Stenocereus peruvianus (Mill.) R. Kiesling"
SN11892	Stenomesson spec.	Plantae	Liliopsida	Asparagales	Stenomesson			Amaryllidaceae				NDN		
SN17617	Stenomesson warscewiczii	Plantae	Liliopsida	Asparagales	Stenomesson	warscewiczii		Amaryllidaceae						
SN11893	Stenopadus affinis	Plantae	Magnoliopsida	Asterales	Stenopadus	affinis	Maguire, Steyerm. & Wurdack	Asteraceae	Memoirs of the New York Botanical Garden 9: 427. 1957.			Stenopadus talaumifolius S.F. Blake	SN17985	
SN11894	Stenopadus campestris	Plantae	Magnoliopsida	Asterales	Stenopadus	campestris	Maguire & Wurdack	Asteraceae	Memoirs of the New York Botanical Garden 9: 383. 1957.			this name is accepted		
SN11895	Stenopadus kunhardtii	Plantae	Magnoliopsida	Asterales	Stenopadus	kunhardtii	Maguire	Asteraceae	Memoirs of the New York Botanical Garden 5: 151. 1953.			this name is accepted		"Stenopadus kunhardtii var. grandifolia Maguire;Stenopadus stipitatus Maguire & Wurdack"
SN11896	Stenopadus neblinensis	Plantae	Magnoliopsida	Asterales	Stenopadus	neblinensis	Maguire & Wurdack	Asteraceae	Boletín de la Sociedad Venezolana de Ciencias Naturales 20: 55. 1958.			Stenopadus talaumifolius S.F. Blake	SN17985	
SN11897	Stenopadus obconicus	Plantae	Magnoliopsida	Asterales	Stenopadus	obconicus	Maguire & Wurdack	Asteraceae	Memoirs of the New York Botanical Garden 9: 381. 1957.			this name is accepted		
SN17985	Stenopadus talaumifolius	Plantae	Magnoliopsida	Asterales	Stenopadus	talaumifolius	S.F. Blake	Asteraceae	Bulletin of the Torrey Botanical Club 58: 491. 1931.			this name is accepted		"Stenopadus affinis Maguire, Steyerm. & Wurdack;Stenopadus cardonae Maguire & Lasser;Stenopadus eurylepis S.F. Blake;Stenopadus neblinensis Maguire & Wurdack;Stenopadus steyermarkii Aristeg.;Stenopadus talaumifolius var. magnifolius Steyerm."
SN11898	Stenosolen heterophyllus	Plantae	Magnoliopsida	Gentianales	Stenosolen	heterophyllus	(Vahl) Markgr.	Apocynaceae	Flora of Suriname 4(1): 455. 1937.	"Tabernaemontana heterophylla Vahl; Eclogae Americanae 2: 22. 1798."		Tabernaemontana heterophylla Vahl	SN17986	
SN15999	Stephanandra incisa	Plantae	Magnoliopsida	Rosales	Stephanandra	incisa	(Thunb.) Zabel	Rosaceae	Garten-Zeitung. Monatsschrift für Gärtner un Gartenfreunde 4: 510, f.. 1885.	"Spiraea incisa Thunb.; Systemat Vegetabilium. Editio decima quarta 472. 1784. "		this name is accepted		"Spiraea incisa Thunb. ;Stephanandra flexuosa Siebold & Zucc."
SN15349	Stephania abyssinica	Plantae	Magnoliopsida	Ranunculales	Stephania	abyssinica	(Quart.-Dill. & A. Rich.) Walp.	Menispermaceae	Repertorium Botanices Systematicae. 1: 96. 1842.	"Clypea abyssinica Quart.-Dill. & A. Rich.; Annales des Sciences Naturelles; Botanique, sér. 2, 14: 263. 1840. "		this name is accepted		Clypea abyssinica Quart.-Dill. & A. Rich. 
SN11899	Stephania cyanantha	Plantae	Magnoliopsida	Ranunculales	Stephania	cyanantha	Welw. ex Hiern	Menispermaceae	Catalogue of the African Plants collected by Dr. F. Welwitsch in 1853--61 1: 20. 1896.	     		this name is accepted		
SN13738	Stephanophysum cordifolium	Plantae	Magnoliopsida	Lamiales	Stephanophysum	cordifolium	Nees	Acanthaceae	Mart. Fl. Bras. ix. 51. 			ND		
SN17488	Stephegyne parvifolia	Plantae	Magnoliopsida	Gentianales	Stephegyne	parvifolia	(Roxb.) Korth. 	Rubiaceae	Verh. Nat. Gesch. Ned. Bezitt., Bot. 161. 1842 [22 Oct 1842] 	"Nauclea parvifolia Roxb.; Pl. Corom. i. 40. t. 52. "		Mitragyna parvifolia (Roxb.) Korth.	SN8173	
