sampling_code	continent	country	original_administrative_data	province	municipality	ocean	sea	exact_site	LatitudeDecimal	LongitudeDecimal	LatitudeDecimal_end	LongitudeDecimal_end	Coord_Origins	GTU_Webservice	Webservice_GTU_id	Webservice_URL	GPS_Weight	WKT	coordinates_accuracy	coordinates_original	sampling_elevation_start	sampling_elevation_end	sampling_elevation_accuracy	sampling_depth_start	sampling_depth_end	sampling_depth_accuracy	station_baseline_elevation	station_baseline_accuracy	iso3166	coordinates_format	latitude_1	longitude_1	latitude_2	longitude_2	collector	sampling_method	expedition	collecting_day_start	collecting_month_start	collecting_year_start	collecting_time_start	collecting_day_end	collecting_month_end	collecting_year_end	collecting_time_end	station_notes	Sampling_Hour	ecology_Water_temperature	ecology_PH	ecology_Salinity	ecology_TSS	ecology_Streamflow	ecology_mV	ecology_Conductivity	ecology_O2_Perc	ecology_O2_mg	ecology_air_pressure	ecology_Air_Temperature	ecology_Relative_Humidity	ecology	biogeo_realms_no_marine	biogeo_realms_marine	biome_terr	biome_freshwater	biome_marine	biotope
TEST_MERGEIRSNB M 0879a-f	Europe	Belgium						Antwerp Province, Oorderen (old village in the north of Antwerp, destroyed in order to enlarge the port), 1st écluse du Kruisschans°'																					BE																	-3,70 m																				
TEST_MERGEIRSNB M 0880a-c	Europe	Belgium						Antwerp Province, Oorderen (old village in the north of Antwerp, destroyed in order to enlarge the port), 1st écluse du Kruisschans°'																					BE																	-7,80 m																				
TEST_MERGEIRSNB M 0881	Europe	Belgium						Antwerp Province, Antwerpen, darse, 1, 2°'																					BE																																					
TEST_MERGEIRSNB M 0883	Europe	Belgium						Antwerp Province, Antwerpen, 2nd section (fossé capital, ?. 125, partie gauche de la camponière n°3, vers Stayoevebug)°'																					BE																																					
TEST_MERGEIRSNB M 0903a-b	Europe	Belgium						Antwerp Province, Oosterweel (Austruweel), 1st section°'																					BE																																					
TEST_MERGEIRSNB M 0892	Europe	Belgium						Antwerp Province, Antwerpen, 1st section°'																					BE																	Formation Kattendijk																				
TEST_MERGEIRSNB M 0897	Europe	Belgium						Antwerp Province,  Wijnegem°'																					BE																																					
TEST_MERGEIRSNB M 0905	Europe	Belgium						Flemish Brabant Province, Dormaal°'																					BE																																					
TEST_MERGEIRSNB M 0915	Europe	Belgium						Province du Hainaut, Erquelinnes (Jeumont)°'																					BE																																					
TEST_MERGEIRSNB M 0920	Europe	Belgium						Province de Flandre-Orientale, Canal de Zelzaete°'																					BE																																					
TEST_MERGEIRSNB M 0973	Europe	Belgium						Province de Namur, Caverne de Hastière°'																					BE																	1er niveau																				
TEST_MERGEIRSNB M 0929	Europe	Belgium						Province de Namur, Caverne de Hastière°'																					BE																	2eme niveau																				
TEST_MERGEIRSNB M 0945	Europe	Belgium						Province de Namur, Caverne de Hastière°'																					BE																	3eme niveau																				
